hex_id,h3,population,centroid_lon,centroid_lat,need_sports,need_health,weight_sports,weight_health
106,883954019dfffff,178.0,-0.3209606239537161,39.50192142598659,True,True,178.0,178.0
107,883954018dfffff,4883.0,-0.34788710124331396,39.49857570311414,False,True,0.0,4883.0
108,883954018bfffff,895.0,-0.3311265715259275,39.50348123486085,True,True,895.0,895.0
109,8839540189fffff,1400.0,-0.3412940111402458,39.50504031716157,True,True,1400.0,1400.0
110,8839540187fffff,1430.0,-0.33414637145927545,39.488994704585,True,True,1430.0,1430.0
111,8839540185fffff,1202.0,-0.34431217538013226,39.49055282621782,True,True,1202.0,1202.0
112,8839540183fffff,1722.0,-0.3275538579011895,39.49545849926915,True,True,1722.0,1722.0
113,8839540181fffff,1526.0,-0.3377197338048282,39.49701746450685,True,True,1526.0,1526.0
114,883954013dfffff,6998.0,-0.40175490586168333,39.491862801504645,False,True,0.0,6998.0
115,883954013bfffff,7102.0,-0.3849902982131291,39.49677804192113,False,False,0.0,0.0
116,8839540139fffff,6731.0,-0.39516355414322063,39.49833252616145,True,False,6731.0,0.0
117,8839540137fffff,9414.0,-0.3880008120611854,39.48228588812352,True,True,9414.0,9414.0
118,8839540135fffff,9580.0,-0.39817242924818386,39.48383941306885,True,False,9580.0,0.0
119,8839540133fffff,12142.0,-0.38141003293873027,39.48875479240757,False,False,0.0,0.0
120,8839540131fffff,11226.0,-0.3915817247666474,39.49030916111911,True,False,11226.0,0.0
121,883954012bfffff,1792.0,-0.4119295759093532,39.49341571316859,True,True,1792.0,1792.0
122,8839540127fffff,13673.0,-0.4149354420853575,39.47892075082372,True,True,13673.0,13673.0
123,8839540123fffff,3374.0,-0.40834553519427796,39.48539220963215,True,True,3374.0,3374.0
124,8839540121fffff,1254.0,-0.418520129584764,39.48694427741803,True,True,1254.0,1254.0
125,883954011dfffff,4520.0,-0.3921535789072102,39.5128248162039,True,True,4520.0,4520.0
126,883954011bfffff,3638.0,-0.37538516523021104,39.51773649404324,True,True,3638.0,3638.0
127,8839540119fffff,1958.0,-0.38556013476684514,39.51929278154519,True,True,1958.0,1958.0
128,8839540117fffff,2728.0,-0.3783981496434467,39.50324605519551,True,True,2728.0,2728.0
129,8839540115fffff,3291.0,-0.3885714800946028,39.50480138332305,True,True,3291.0,3291.0
130,8839540113fffff,2293.0,-0.3718052791135265,39.50971320066296,True,True,2293.0,2293.0
131,8839540111fffff,2812.0,-0.3819786837716392,39.51126937271006,True,True,2812.0,2812.0
132,883954010dfffff,9350.0,-0.41910041000443066,39.50946299446571,True,True,9350.0,9350.0
133,883954010bfffff,823.0,-0.4023299642059175,39.514379530748634,True,True,823.0,823.0
134,8839540109fffff,9803.0,-0.41250783935295254,39.515933515948305,True,True,9803.0,9803.0
135,8839540107fffff,5519.0,-0.405338299534203,39.49988628173618,True,True,5519.0,5519.0
136,8839540105fffff,10487.0,-0.41551453407132133,39.50143930824965,True,False,10487.0,0.0
137,8839540103fffff,2136.0,-0.39874630051492554,39.506355982841114,True,True,2136.0,2136.0
138,8839540101fffff,9069.0,-0.4089226105898649,39.50790985335394,True,True,9069.0,9069.0
