candidate_id,lat,lon,zona,cost_sports,cost_health,traffic_score,population_in_isochrone
50,39.450946,-0.40606,866,2.38,7.93,585.16,7789
51,39.452409,-0.405608,568,4.24,6.52,1197.55,7789
52,39.457056,-0.405099,563,7.31,7.58,1523.2,18666
53,39.481589,-0.377687,259,3.91,1.13,1345.57,10892
54,39.474369,-0.361325,389,7.05,7.01,121.86,22930
55,39.472247,-0.364989,375,5.39,4.8,395.52,29283
56,39.469616,-0.362955,61,8.42,8.65,1331.92,16995
57,39.474685,-0.366829,356,7.57,1.41,804.62,15266
58,39.476687,-0.388504,276,9.92,9.86,246.57,24722
59,39.476709,-0.394101,770,3.38,3.6,553.35,10851
60,39.46695,-0.397304,204,8.19,7.64,866.39,35177
61,39.451515,-0.358652,933,5.54,9.63,1007.58,13746
62,39.452872,-0.355344,894,8.31,3.84,438.0,8497
63,39.460524,-0.398814,160,7.17,6.0,706.06,17932
64,39.459446,-0.356657,499,8.52,7.01,331.23,22056
65,39.490166,-0.36244,346,5.03,8.52,253.42,30490
66,39.483328,-0.3556,635,2.06,7.56,46.75,24721
67,39.308497,-0.296912,1212,2.69,4.74,303.73,0
68,39.478994,-0.369756,40,1.66,1.91,1208.72,17786
69,39.444024,-0.323611,976,7.16,3.53,64.63,5771
70,39.447821,-0.308108,710,8.89,3.84,329.0,2999
71,39.284935,-0.280888,1212,3.65,2.76,303.73,0
72,39.44996,-0.362199,931,9.73,4.92,371.06,5228
73,39.44892,-0.365101,1031,0.64,1.71,52.82,5228
74,39.45394,-0.364724,509,8.28,7.8,132.35,31242
75,39.496143,-0.366206,965,0.84,9.5,44.4,22640
76,39.49302,-0.361843,868,9.07,2.22,518.33,9905
77,39.494054,-0.359805,868,0.52,9.65,518.33,9905
78,39.479125,-0.346651,481,7.71,2.79,381.2,17624
79,39.480011,-0.349437,1218,4.85,6.99,1235.23,19556
80,39.478737,-0.349899,401,1.5,6.53,39.8,19556
81,39.35627,-0.323986,1212,9.15,9.7,303.73,0
82,39.359456,-0.319304,1212,8.31,9.28,303.73,0
83,39.487251,-0.381919,1093,4.74,7.98,200.87,12142
84,39.479387,-0.373372,37,2.32,7.14,280.58,31803
85,39.473795,-0.356094,367,3.74,8.81,697.99,27970
86,39.301786,-0.290355,1212,8.85,6.79,303.73,0
87,39.453101,-0.347442,966,5.87,9.91,180.11,3790
88,39.456975,-0.34248,818,6.83,2.11,937.52,14136
89,39.445851,-0.393817,834,1.19,4.62,816.4,9184
90,39.49989,-0.424174,800,9.22,7.05,1703.86,10487
91,39.497072,-0.419868,810,5.46,3.24,75.53,10487
92,39.451212,-0.395806,435,8.69,8.56,230.14,18202
93,39.450408,-0.387141,436,4.69,1.71,341.77,28802
94,39.45695,-0.394732,990,7.81,3.1,255.13,31240
95,39.496459,-0.386176,877,5.12,6.51,167.01,7102
96,39.494364,-0.382677,830,7.21,4.89,672.51,19244
97,39.46049,-0.412917,761,7.78,5.62,12.35,10877
98,39.458991,-0.389839,433,0.72,7.0,398.79,21097
99,39.427807,-0.374768,693,7.83,0.57,60.31,11136
100,39.305473,-0.293164,1212,6.43,7.87,303.73,0
101,39.304988,-0.292437,1212,2.49,5.32,303.73,0
102,39.304242,-0.291872,1212,9.47,3.21,303.73,0
103,39.492339,-0.399486,802,5.36,9.04,57.88,18224
104,39.492318,-0.397925,799,5.22,9.21,410.52,24955
105,39.494904,-0.404096,797,4.76,7.1,55.2,12517
106,39.479866,-0.405905,782,4.31,5.04,439.45,16786
107,39.474568,-0.401973,768,5.52,5.34,787.0,30699
108,39.476221,-0.400648,768,0.81,6.77,787.0,18057
109,39.480191,-0.398546,778,7.35,6.38,45.13,27637
110,39.477979,-0.409387,782,2.83,2.79,439.45,20879
111,39.484386,-0.405243,806,0.74,0.55,479.49,20160
112,39.486094,-0.404854,806,8.99,9.78,479.49,19952
113,39.484435,-0.392782,191,3.13,2.98,788.7,30220
114,39.471442,-0.404009,214,1.25,1.73,1608.5,33436
115,39.498687,-0.374837,827,3.0,8.67,1840.86,12496
116,39.481801,-0.381788,252,6.57,8.39,1123.3,20306
117,39.481324,-0.388472,253,6.72,4.76,716.87,9414
118,39.48547,-0.38778,236,9.05,2.13,266.3,20640
119,39.485847,-0.401448,808,1.9,3.71,696.95,19952
120,39.489634,-0.395894,804,2.15,2.81,441.77,18224
121,39.489477,-0.396547,804,5.46,8.11,441.77,27804
122,39.54413,-0.413048,800,4.58,4.59,1703.86,0
123,39.545968,-0.41327,800,5.38,7.4,1703.86,0
124,39.505974,-0.427318,800,8.78,1.32,1703.86,0
125,39.50146,-0.428379,800,3.9,9.81,1703.86,0
126,39.547969,-0.418722,800,8.71,2.88,1703.86,0
127,39.549242,-0.417707,800,9.04,4.7,1703.86,0
128,39.549604,-0.417551,800,7.46,7.5,1703.86,0
129,39.501054,-0.426131,800,8.38,2.66,1703.86,0
130,39.538991,-0.40951,800,6.48,9.51,1703.86,0
